,stop_id,stop_name,stop_lat,stop_lon,clust,Node,Eigenvector Centrality,Degree Centrality,Closeness Centrality,Betweenness Centrality
15,007879,"Római úti lakótelep, Varsa utca",47.570863,19.058543,4980,4980.0,2.929595761923932e-11,0.00023196474135931338,0.03506770592637519,0.0
17,007881,Váradi utca,47.543722,19.030125,936,936.0,2.7705919825845062e-11,0.00046392948271862676,0.03559375772659624,0.0017390358985619801
19,007883,Perényi út,47.5458,19.029579,933,933.0,1.267769143685758e-10,0.00046392948271862676,0.03699469846996244,0.002173256671946421
20,007884,Deák Ferenc tér M,47.497413,19.055158,2684,2684.0,0.01264404634751953,0.0016237531895151936,0.0661720878810365,0.05576669177809696
21,007885,Dorottya utca (Vörösmarty tér M),47.497476,19.049623,2661,2661.0,7.736487211329098e-05,0.00046392948271862676,0.05548961138551157,0.0006660423788382748
25,007897,Kelenföld vasútállomás M,47.464572,19.022964,4496,4496.0,0.0003887226007912897,0.003479471120389701,0.05324169618601706,0.06917907633596887
26,007898,Kelenföld vasútállomás M,47.464653,19.023017,4496,4496.0,0.0003887226007912897,0.003479471120389701,0.05324169618601706,0.06917907633596887
28,007900,Maros utcai rendelőintézet,47.503724,19.022401,1792,1792.0,8.25242316658706e-05,0.00046392948271862676,0.050879066000877465,0.0006054741668322866
30,007913,526. sor,47.479281,19.211332,826,826.0,4.736443085105393e-09,0.00046392948271862676,0.03772684034887905,0.0008631595544378377
31,007914,526. sor,47.4793,19.211468,827,827.0,2.2222753451534976e-10,0.00046392948271862676,0.03422755994496553,0.0003320034538587158
32,007919,Pólus Center,47.552544,19.143552,1123,1123.0,1.0154102872240469e-05,0.00046392948271862676,0.0456359226765769,0.00301175270518343
33,007923,Kele utca,47.431808,19.173804,396,396.0,3.6960242451515457e-07,0.0006958942240779401,0.04555368097054594,0.0005775082208719784
34,007924,Ültetvény utca,47.396895,19.175423,252,252.0,3.169399621325697e-07,0.00046392948271862676,0.046723523253975816,0.0021907705644272062
37,007930,Savoyai Jenő tér (Törley tér),47.430333,19.036354,3998,3998.0,1.1010114916849124e-08,0.00023196474135931338,0.04093163023925763,0.0
38,007931,Savoyai Jenő tér (Törley tér),47.430369,19.036792,3999,3999.0,3.775253760475577e-08,0.00046392948271862676,0.04259192158861633,0.0008796523422655681
39,007949,Kocsis Sándor út,47.574343,19.013009,4919,4919.0,7.850214919554339e-14,0.0009278589654372535,0.03157796203628952,0.0013865095439468975
40,007950,Keleti pályaudvar M,47.501104,19.082712,2126,2126.0,0.5443597118730281,0.003479471120389701,0.06848974251880188,0.28420948105638244
41,007967,Kelenföld vasútállomás M,47.465732,19.021875,4496,4496.0,0.0003887226007912897,0.003479471120389701,0.05324169618601706,0.06917907633596887
42,007968,Mogyoród útja,47.570602,19.128267,4804,4804.0,1.2284543376632857e-07,0.0006958942240779401,0.03796938379931496,3.76740879237864e-07
46,007975,Hűvösvölgy,47.543243,18.964281,5173,5173.0,1.1890156542410322e-12,0.00023196474135931338,0.030927085118950988,0.0
50,007979,Vörösmarty utca M,47.507468,19.066509,2485,2485.0,0.00452474511659144,0.00046392948271862676,0.05991404970503897,0.019137163212126537
51,007980,Vörösmarty utca M,47.507444,19.066767,2485,2485.0,0.00452474511659144,0.00046392948271862676,0.05991404970503897,0.019137163212126537
52,007995,Jókai Mór utca,47.410717,19.020681,4660,4660.0,3.7948818697993585e-11,0.00046392948271862676,0.035625528610868935,0.0016376630701633549
60,008020,Örs vezér tere M+H,47.500932,19.136306,3455,3455.0,0.10810537311696447,0.004407330085826954,0.060193688552069205,0.18927343085082782
61,008021,Örs vezér tere M+H,47.50194,19.136228,3455,3455.0,0.10810537311696447,0.004407330085826954,0.060193688552069205,0.18927343085082782
62,008022,Örs vezér tere M+H,47.501517,19.136333,3455,3455.0,0.10810537311696447,0.004407330085826954,0.060193688552069205,0.18927343085082782
63,008023,Örs vezér tere M+H,47.501472,19.136134,3455,3455.0,0.10810537311696447,0.004407330085826954,0.060193688552069205,0.18927343085082782
64,008024,Örs vezér tere M+H,47.501148,19.136213,3455,3455.0,0.10810537311696447,0.004407330085826954,0.060193688552069205,0.18927343085082782
65,008025,Örs vezér tere M+H,47.501778,19.135922,3455,3455.0,0.10810537311696447,0.004407330085826954,0.060193688552069205,0.18927343085082782
66,008026,Örs vezér tere M+H,47.501355,19.136028,3455,3455.0,0.10810537311696447,0.004407330085826954,0.060193688552069205,0.18927343085082782
67,008028,Örs vezér tere M+H,47.501112,19.135882,3455,3455.0,0.10810537311696447,0.004407330085826954,0.060193688552069205,0.18927343085082782
68,008029,Örs vezér tere M+H,47.502111,19.135697,3455,3455.0,0.10810537311696447,0.004407330085826954,0.060193688552069205,0.18927343085082782
69,008030,Örs vezér tere M+H,47.501742,19.135604,3455,3455.0,0.10810537311696447,0.004407330085826954,0.060193688552069205,0.18927343085082782
71,008036,Kőbányai út 31.,47.487461,19.104252,2971,2971.0,0.00018652390354495827,0.00046392948271862676,0.055052932725210044,0.0
72,008037,Kőbányai út 31.,47.487452,19.103721,2969,2969.0,0.00017479937729409945,0.00046392948271862676,0.05365000757822383,0.0
74,008041,Tas vezér utca,47.478849,19.040827,4188,4188.0,0.000460725279768699,0.00046392948271862676,0.05637067385610798,0.003907986960459969
75,008047,Lajosmizsei sorompó,47.450468,19.16141,327,327.0,5.558184206963467e-07,0.00046392948271862676,0.04588277348899285,0.001596007562066003
76,008050,Liptó utca,47.4861,19.007031,4421,4421.0,1.7682838487335967e-08,0.00046392948271862676,0.04086589823117803,0.0008699485102858334
77,008051,Liptó utca,47.48601,19.007071,4422,4422.0,8.517869012542978e-09,0.00046392948271862676,0.03995301134403961,0.0013045998446751176
78,008067,Szent Imre tér,47.430889,19.0703,3716,3716.0,1.6296142738182042e-06,0.0006958942240779401,0.043968419634298796,0.01459554382955452
81,008087,Fény utcai piac,47.508464,19.023646,1805,1805.0,0.00012211322042647872,0.0006958942240779401,0.05107370298068928,0.003474627309085214
82,008090,Móricz Zsigmond körtér M,47.477256,19.048786,4329,4329.0,0.0021081607044541165,0.002551612154952447,0.059957631138749676,0.07724270595188074
83,008093,Dél-pesti autóbuszgarázs,47.426707,19.161776,530,530.0,4.185002944774337e-08,0.00046392948271862676,0.04353076972760285,0.00425549288621367
84,008094,Dél-pesti autóbuszgarázs,47.42616,19.16094,531,531.0,8.957309286570264e-09,0.00046392948271862676,0.0417809240182851,0.001986107946286003
85,008095,Nagykőrösi út,47.425255,19.157029,535,535.0,9.164646235492443e-09,0.00046392948271862676,0.041827936718368555,0.0038694590110735574
86,008096,Nagykőrösi út,47.425183,19.157506,533,533.0,1.9880900554193564e-09,0.00046392948271862676,0.040305085736583875,0.0016376985140005176
87,008098,Szabina út,47.43645,19.013416,4118,4118.0,4.839830729376724e-06,0.0009278589654372535,0.04595228188992512,0.01471777845038643
94,008106,Vihar utca,47.434282,19.035651,4030,4030.0,2.3817951381787977e-08,0.00046392948271862676,0.042182994410513215,0.0015162881729673245
95,008109,Damjanich utca,47.402518,18.991053,4689,4689.0,2.4309814238200597e-11,0.00046392948271862676,0.03359673780842644,0.0007479246783494497
96,008110,Barosstelep vasútállomás,47.399613,18.990911,4683,4683.0,5.415121709772001e-12,0.00046392948271862676,0.032653231905057666,0.00040064984335425453
97,008111,Barackos út / Angeli utca,47.402248,18.974427,4634,4634.0,1.0640732260176843e-08,0.0006958942240779401,0.03834530688682866,0.00314622890753326
98,008112,Szakiskola utca,47.40492,18.975841,4611,4611.0,2.3257654934031533e-09,0.00046392948271862676,0.03694927435326543,0.001855445275507603
