,Final ID,Minutes Left
0,007884,10.0
1,007885,2.0
2,007950,3.0
3,007980,1.0
4,008037,0.0
5,008040,0.0
6,008041,3.0
7,008090,4.0
8,008132,0.0
9,008153,1.0
10,008155,3.0
11,008218,7.0
12,008238,6.0
13,008239,7.0
14,008240,5.0
15,008265,3.0
16,008272,3.0
17,008280,1.0
18,008455,2.0
19,008545,0.0
20,008546,9.0
21,008590,12.0
22,008591,9.0
23,008593,7.0
24,008694,11.0
25,008702,2.0
26,008725,0.0
27,008750,0.0
28,008782,4.0
29,008785,0.0
30,009025,0.0
31,009026,0.0
32,009039,1.0
33,009041,7.0
34,009042,8.0
35,009161,3.0
36,009162,3.0
37,009163,3.0
38,009179,6.0
39,009220,4.0
40,009230,7.0
41,009290,3.0
42,009309,7.0
43,009321,3.0
44,009359,9.0
45,009365,10.0
46,009537,10.0
47,009570,3.0
48,009667,3.0
49,009675,4.0
50,009676,1.0
51,016727,3.0
52,038717,7.0
53,041071,4.0
54,041209,9.0
55,042933,2.0
56,048505,3.0
57,048506,6.0
58,061350,3.0
59,061351,3.0
60,061368,0.0
61,062517,2.0
62,062518,10.0
63,062521,6.0
64,062607,1.0
65,062608,0.0
66,062620,3.0
67,062621,0.0
68,062622,2.0
69,062759,11.0
70,062942,2.0
71,066451,1.0
72,066453,0.0
73,067592,0.0
74,071262,0.0
75,071659,3.0
76,072934,7.0
77,072935,5.0
78,086855,4.0
79,086856,4.0
80,086858,0.0
81,086866,4.0
82,086880,1.0
83,086885,5.0
84,099342,3.0
85,099343,3.0
86,099344,3.0
87,102283,0.0
88,102602,3.0
89,105925,7.0
90,108188,7.0
91,108458,7.0
92,108550,4.0
93,CS009703,3.0
94,CS056230,9.0
95,CS056232,8.0
96,CSF00062,3.0
97,CSF00094,0.0
98,CSF00097,4.0
99,CSF00958,5.0
100,CSF00960,8.0
101,CSF00997,5.0
102,CSF00999,13.0
103,CSF01019,9.0
104,CSF01025,3.0
105,CSF01093,2.0
106,CSF01096,1.0
107,CSF01101,0.0
108,CSF01289,11.0
109,CSF01415,0.0
110,CSF02481,2.0
111,CSF02680,2.0
112,CSLM1OKV,3.0
113,CSLM1OPV,4.0
114,CSLM1VTV,5.0
115,CSLM2BLA,7.0
116,CSLM2PF1,3.0
117,CSLM2PU2,1.0
118,CSLM3AHG,1.0
119,CSLM3LED,4.0
120,CSLM3NTF,7.0
121,CSLM3NYA,6.0
122,CSLM4BP1,4.0
123,CSLM4FT1,9.0
124,CSLM4KFD,2.0
125,CSLM4MKF,7.0
126,CSLM4SG1,9.0
127,CSLM4UK1,6.0
128,CSLMXKPB,6.0
129,F00002,0.0
130,F00003,2.0
131,F00004,0.0
132,F00005,3.0
133,F00006,2.0
134,F00007,2.0
135,F00008,5.0
136,F00009,2.0
137,F00011,1.0
138,F00028,3.0
139,F00029,0.0
140,F00045,1.0
141,F00047,3.0
142,F00048,1.0
143,F00051,0.0
144,F00052,2.0
145,F00057,0.0
146,F00066,0.0
147,F00067,0.0
148,F00076,5.0
149,F00077,5.0
150,F00078,8.0
151,F00079,1.0
152,F00080,1.0
153,F00081,4.0
154,F00082,6.0
155,F00083,3.0
156,F00084,0.0
