,Final ID,Minutes Left
0,007913,1.0
1,008022,0.0
2,008025,0.0
3,008156,5.0
4,008491,4.0
5,008577,0.0
6,008692,0.0
7,008923,5.0
8,008924,2.0
9,009487,0.0
10,009491,3.0
11,009492,6.0
12,009493,4.0
13,009494,5.0
14,009543,13.0
15,009550,2.0
16,009684,5.0
17,009685,4.0
18,011715,11.0
19,011723,8.0
20,011725,4.0
21,011726,3.0
22,011773,8.0
23,047671,5.0
24,066711,1.0
25,066712,3.0
26,066713,3.0
27,066714,2.0
28,066716,1.0
29,066718,0.0
30,103897,0.0
31,F01549,2.0
32,F01551,4.0
33,F01552,1.0
34,F01553,3.0
35,F01554,6.0
36,F01588,3.0
37,F01589,0.0
38,F01591,4.0
39,F01592,1.0
40,F01593,5.0
41,F01594,5.0
42,F01595,8.0
43,F01596,5.0
44,F01597,5.0
45,F01600,8.0
46,F01601,5.0
47,F01602,10.0
48,F01603,9.0
49,F01604,5.0
50,F01605,11.0
51,F01606,8.0
52,F01608,7.0
53,F01609,10.0
54,F01610,7.0
55,F01611,7.0
56,F01612,4.0
57,F01613,9.0
58,F01614,6.0
59,F01615,6.0
60,F01616,3.0
61,F01617,3.0
62,F01618,3.0
63,F01619,2.0
64,F01620,2.0
65,F01621,2.0
66,F01622,5.0
67,F01623,3.0
68,F01624,0.0
69,F01625,0.0
70,F01626,0.0
71,F01648,0.0
72,F01674,2.0
73,F01676,0.0
74,F01677,0.0
75,F01697,0.0
76,F01700,1.0
77,F01708,2.0
78,F01709,2.0
79,F01711,4.0
80,F01712,1.0
81,F01713,3.0
82,F01715,12.0
83,F01716,9.0
84,F01717,8.0
85,F01718,9.0
86,F01719,15.0
87,F01720,15.0
88,F01721,15.0
89,F01722,15.0
90,F01773,3.0
91,F01774,0.0
92,F01781,3.0
93,F01782,0.0
94,F01783,0.0
95,F01784,4.0
96,F01785,1.0
97,F01786,6.0
98,F01787,3.0
99,F01790,1.0
100,F01808,4.0
101,F01810,4.0
102,F01811,7.0
103,F01812,5.0
104,F01813,8.0
105,F01814,8.0
106,F01815,5.0
107,F01816,9.0
108,F01817,6.0
109,F01818,5.0
110,F01819,8.0
111,F01822,4.0
112,F01823,7.0
113,F01824,4.0
114,F01825,7.0
115,F01827,1.0
116,F01830,1.0
117,F01834,1.0
118,F01836,0.0
119,F01842,2.0
120,F01846,14.0
121,F01847,11.0
122,F01848,14.0
123,F01849,11.0
124,F01854,0.0
125,F01858,2.0
126,F01860,1.0
127,F01864,11.0
128,F01865,11.0
129,F01866,4.0
130,F01867,2.0
131,F01868,4.0
132,F01869,1.0
133,F01870,0.0
134,F01872,3.0
135,F01873,6.0
136,F01874,5.0
137,F01875,2.0
138,F03287,2.0
139,F03338,0.0
140,F03438,1.0
141,F03447,2.0
142,F03449,3.0
143,F03450,0.0
144,F03451,1.0
145,F03452,1.0
146,F03453,4.0
147,F03454,2.0
148,F03455,5.0
149,F03457,4.0
150,F03458,3.0
151,F03459,0.0
152,F03465,0.0
153,F03468,1.0
154,F03469,0.0
155,F03473,1.0
156,F03474,4.0
157,F03475,7.0
158,F03476,3.0
159,F03477,6.0
160,F03478,5.0
161,F03479,2.0
162,F03480,2.0
163,F03481,2.0
164,F03482,0.0
165,F03486,1.0
166,F03487,4.0
167,F03490,2.0
168,F03491,1.0
169,F03493,1.0
170,F03511,0.0
171,F03513,2.0
172,F03514,1.0
173,F03515,4.0
174,F03516,3.0
175,F03517,0.0
176,F03519,1.0
177,F03533,0.0
178,F03535,0.0
179,F03537,1.0
180,F03541,7.0
181,F03542,10.0
182,F03543,8.0
183,F03544,8.0
184,F03545,11.0
185,F03546,9.0
186,F03547,12.0
187,F03549,14.0
188,F03550,10.0
189,F03551,13.0
190,F03552,14.0
191,F03553,0.0
192,F03554,7.0
193,F03556,5.0
194,F03557,3.0
195,F03558,2.0
196,F03559,1.0
197,F03566,0.0
198,F03567,3.0
199,F03587,2.0
200,F03593,9.0
201,F03594,6.0
202,F03595,8.0
203,F03602,0.0
204,F03604,0.0
205,F03605,5.0
206,F03610,5.0
