,stop_id,stop_name,stop_lat,stop_lon,clust,Node,Eigenvector Centrality,Degree Centrality,Closeness Centrality,Betweenness Centrality
0,par_5_11,ATOCHA,40.40659,-3.6893,1675,1675.0,0.04915130872683707,0.006313744536182613,0.14824681402548778,0.5362911117674126
1,par_5_133,FUENTE DE LA MORA,40.48475,-3.66282,948,948.0,0.08258928115808638,0.003399708596406022,0.12375285491044596,0.07921383528115049
2,par_5_142,AEROPUERTO T4,40.49177,-3.59333,148,148.0,0.005025548407212635,0.0024283632831471587,0.10751396793901102,0.014688691830344916
3,par_5_144,VALDEBEBAS,40.4823,-3.61642,137,137.0,0.017624688629606585,0.003399708596406022,0.11344352617079889,0.06462844821667478
4,par_5_18,CHAMARTÍN,40.4721,-3.68247,2095,2095.0,0.23143796587943447,0.004371053909664886,0.13835505980378981,0.27989504377169555
5,par_5_25,DELICIAS,40.40037,-3.69277,1639,1639.0,0.005228129428664929,0.0024283632831471587,0.12448609431680774,0.09175711777178346
6,par_5_46,MÉNDEZ ÁLVARO,40.39538,-3.67808,1661,1661.0,0.012758297801290583,0.004371053909664886,0.13531808622502628,0.16183861169046104
7,par_5_51,NUEVOS MINISTERIOS,40.44662,-3.69234,1798,1798.0,0.07859324954317251,0.0048567265662943174,0.14472481900611514,0.3626547536588568
8,par_5_57,PIRÁMIDES,40.4026,-3.71134,1823,1823.0,0.0011214380638721309,0.001942690626517727,0.11628169650420737,0.09451064165615668
9,par_5_61,PRÍNCIPE PÍO,40.42107,-3.72026,1539,1539.0,0.0003612730604687493,0.0048567265662943174,0.10903987713816661,0.10712953010522518
17,par_5_10,ASAMBLEA DE MADRID-ENTREVÍAS,40.38167,-3.668,1398,1398.0,0.011307863655275429,0.003885381253035454,0.13214812913163468,0.12207394890727108
18,par_5_59,POZO EL,40.3759,-3.65623,1365,1365.0,0.0027397933865600564,0.003885381253035454,0.11942462734180152,0.0974554063307659
19,par_5_75,SANTA EUGENIA,40.38699,-3.60906,319,319.0,0.00021818523431617264,0.0024283632831471587,0.09898086722430535,0.007735805027037633
20,par_5_87,VALLECAS,40.38221,-3.62455,303,303.0,0.0006963262471246138,0.004371053909664886,0.10861996201730323,0.06222299513021464
21,par_5_90,VICÁLVARO,40.40132,-3.59593,496,496.0,0.0002118020969538182,0.003885381253035454,0.10013617352397626,0.01972303341832284
22,par_5_122,SOL,40.41685,-3.70309,1869,1869.0,0.024417762347224824,0.0014570179698882952,0.13726666666666668,0.015076990495261849
23,par_5_145,MIRASIERRA-PACO DE LUCÍA,40.49971,-3.70918,712,712.0,0.14948987701196642,0.0029140359397765905,0.12654415831848073,0.027333902796300782
24,par_5_58,PITIS,40.4951,-3.72584,700,700.0,0.028143933941486052,0.001942690626517727,0.11267374411732516,0.015278655035502261
25,par_5_64,RAMÓN Y CAJAL,40.48824,-3.69473,2018,2018.0,0.5358903376701282,0.009713453132588635,0.13259917568263782,0.20362471881552988
26,par_5_69,SAN CRISTÓBAL DE LOS ANGELES,40.34236,-3.68385,276,276.0,0.002726340884098624,0.0009713453132588635,0.11581730228372146,0.0009713453132588635
27,par_5_70,SAN CRISTÓBAL INDUSTRIAL,40.33191,-3.69872,380,380.0,0.0004651057874418504,0.00048567265662943174,0.10380116959064327,0.0
28,par_5_93,VILLAVERDE BAJO,40.35264,-3.68398,404,404.0,0.015518229701200729,0.003399708596406022,0.13096298180893015,0.06398432784977405
30,par_5_15,CANTOBLANCO UNIVERSIDAD,40.54378,-3.70034,38,38.0,0.010451754096382177,0.0009713453132588635,0.116822695035461,0.0009713453132588635
